year_month,metric_name,metric_value,metric_unit,description
2025-09,ネットワーク稼働率,99.994,%,コアネットワーク稼働率
2025-09,NPS,36,ポイント,顧客推奨度スコア
2025-09,設備投資額,510,百万円,月間設備投資額
2025-10,売上高,3230,百万円,月次売上高
2025-10,営業利益率,11.8,%,営業利益÷売上高
2025-10,契約回線数,51.8,千回線,有効契約回線数
2025-10,ARPU,62355,円,回線あたり月間売上
2025-10,解約率,0.68,%,月次解約率
2025-10,ネットワーク稼働率,99.996,%,コアネットワーク稼働率
2025-10,障害発生件数,7,件,月間ネットワーク障害数
2025-11,売上高,3280,百万円,月次売上高
2025-11,営業利益率,12.0,%,営業利益÷売上高
2025-11,契約回線数,52.2,千回線,有効契約回線数
2025-11,ARPU,62835,円,回線あたり月間売上
2025-11,解約率,0.67,%,月次解約率
2025-11,ネットワーク稼働率,99.993,%,コアネットワーク稼働率
2025-11,NPS,37,ポイント,顧客推奨度スコア
2025-12,売上高,3340,百万円,月次売上高
2025-12,営業利益率,12.2,%,営業利益÷売上高
2025-12,契約回線数,52.7,千回線,有効契約回線数
2025-12,ARPU,63378,円,回線あたり月間売上
2025-12,解約率,0.65,%,月次解約率
2025-12,ネットワーク稼働率,99.997,%,コアネットワーク稼働率
2025-12,障害発生件数,5,件,月間ネットワーク障害数
2025-12,設備投資額,550,百万円,月間設備投資額
2026-01,売上高,3390,百万円,月次売上高
2026-01,営業利益率,12.4,%,営業利益÷売上高
2026-01,契約回線数,53.1,千回線,有効契約回線数
2026-01,ARPU,63842,円,回線あたり月間売上
2026-01,解約率,0.64,%,月次解約率
2026-01,ネットワーク稼働率,99.994,%,コアネットワーク稼働率
2026-01,NPS,38,ポイント,顧客推奨度スコア
2026-02,売上高,3440,百万円,月次売上高
2026-02,営業利益率,12.6,%,営業利益÷売上高
2026-02,契約回線数,53.5,千回線,有効契約回線数
2026-02,ARPU,64299,円,回線あたり月間売上
2026-02,解約率,0.62,%,月次解約率
2026-02,ネットワーク稼働率,99.996,%,コアネットワーク稼働率
2026-02,障害発生件数,6,件,月間ネットワーク障害数
2026-03,売上高,3510,百万円,月次売上高
2026-03,営業利益率,12.9,%,営業利益÷売上高
2026-03,契約回線数,54.0,千回線,有効契約回線数
2026-03,ARPU,65000,円,回線あたり月間売上
2026-03,解約率,0.61,%,月次解約率
2026-03,ネットワーク稼働率,99.995,%,コアネットワーク稼働率
2026-03,NPS,39,ポイント,顧客推奨度スコア
2026-03,設備投資額,620,百万円,月間設備投資額
2026-04,売上高,3570,百万円,月次売上高
2026-04,営業利益率,13.1,%,営業利益÷売上高
2026-04,契約回線数,54.4,千回線,有効契約回線数
2026-04,ARPU,65625,円,回線あたり月間売上
2026-04,解約率,0.60,%,月次解約率
2026-04,ネットワーク稼働率,99.998,%,コアネットワーク稼働率
2026-04,障害発生件数,4,件,月間ネットワーク障害数
2026-05,売上高,3640,百万円,月次売上高
2026-05,営業利益率,13.3,%,営業利益÷売上高
2026-05,契約回線数,54.9,千回線,有効契約回線数
2026-05,ARPU,66303,円,回線あたり月間売上
2026-05,解約率,0.58,%,月次解約率
2026-05,ネットワーク稼働率,99.995,%,コアネットワーク稼働率
2026-05,NPS,40,ポイント,顧客推奨度スコア
2026-05,設備投資額,650,百万円,月間設備投資額
2026-06,売上高,3710,百万円,月次売上高
2026-06,営業利益率,13.5,%,営業利益÷売上高
2026-06,契約回線数,55.3,千回線,有効契約回線数
2026-06,ARPU,67089,円,回線あたり月間売上
2026-06,解約率,0.57,%,月次解約率
2026-06,ネットワーク稼働率,99.997,%,コアネットワーク稼働率
2026-06,NPS,41,ポイント,顧客推奨度スコア
2026-06,障害発生件数,5,件,月間ネットワーク障害数
