year_month,metric_name,metric_value,metric_unit,description
2026-03,NPS,44,ポイント,顧客推奨度スコア
2026-03,サポート問合せ数,5120,件,月間問合せ件数
2026-04,売上高,4890,百万円,月次売上高
2026-04,営業利益率,22.4,%,営業利益÷売上高
2026-04,MAU,1700,千人,月間アクティブユーザー数
2026-04,ARPU,2876,円,ユーザーあたり月間売上
2026-04,課金率,5.9,%,MAU中の課金ユーザー比率
2026-04,DAU/MAU比率,47.1,%,デイリー継続率指標
2026-04,新規タイトル数,2,件,月間リリースタイトル数
2026-05,売上高,5050,百万円,月次売上高
2026-05,営業利益率,22.8,%,営業利益÷売上高
2026-05,MAU,1740,千人,月間アクティブユーザー数
2026-05,ARPU,2902,円,ユーザーあたり月間売上
2026-05,課金率,6.0,%,MAU中の課金ユーザー比率
2026-05,DAU/MAU比率,47.5,%,デイリー継続率指標
2026-05,NPS,45,ポイント,顧客推奨度スコア
2026-05,インフラコスト比率,19.2,%,売上に対するサーバー費用
2026-06,売上高,5220,百万円,月次売上高
2026-06,営業利益率,23.1,%,営業利益÷売上高
2026-06,MAU,1790,千人,月間アクティブユーザー数
2026-06,ARPU,2916,円,ユーザーあたり月間売上
2026-06,課金率,6.1,%,MAU中の課金ユーザー比率
2026-06,DAU/MAU比率,47.9,%,デイリー継続率指標
2026-06,NPS,46,ポイント,顧客推奨度スコア
2026-06,インフラコスト比率,18.9,%,売上に対するサーバー費用
